"customer_id;""recency"";""frequency"";""monetary"";""recency_score"";""frequency_score"";""monetary_score"";""rfm_score"";""customer_segment"""
"CUST00486;147;2;5544.8;2;2;1;""221"";""Lost Customers"""
"CUST00475;210;1;5907.38;2;1;1;""211"";""Lost Customers"""
"CUST00453;365;1;5913.5;1;1;1;""111"";""Lost Customers"""
"CUST00205;417;1;5945.14;1;1;1;""111"";""Lost Customers"""
"CUST00256;73;2;6053.85;3;2;1;""321"";""Lost Customers"""
"CUST00426;296;1;6103.76;1;1;1;""111"";""Lost Customers"""
"CUST00210;224;2;6160.1;1;2;1;""121"";""Lost Customers"""
"CUST00265;197;1;6305.09;2;1;1;""211"";""Lost Customers"""
"CUST00403;12;1;6447.98;5;1;1;""511"";""Potential Loyalists"""
"CUST00342;226;2;6547.35;1;2;1;""121"";""Lost Customers"""
"CUST00324;440;1;6646.91;1;1;1;""111"";""Lost Customers"""
"CUST00473;49;3;6717.78;4;3;1;""431"";""Potential Loyalists"""
"CUST00398;96;1;6793.55;3;1;1;""311"";""Lost Customers"""
"CUST00158;106;2;7191.22;3;2;1;""321"";""Lost Customers"""
"CUST00192;247;3;7423.26;1;2;1;""121"";""Lost Customers"""
"CUST00404;68;3;7481.7;3;2;1;""321"";""Lost Customers"""
"CUST00230;229;1;7618.97;1;1;1;""111"";""Lost Customers"""
"CUST00072;22;3;7653.93;5;3;1;""531"";""Potential Loyalists"""
"CUST00478;269;1;8159.2;1;1;1;""111"";""Lost Customers"""
"CUST00077;97;1;8370.52;3;1;1;""311"";""Lost Customers"""
"CUST00062;128;2;8697.22;2;2;1;""221"";""Lost Customers"""
"CUST00083;212;1;9030.94;2;1;1;""211"";""Lost Customers"""
"CUST00496;355;2;9035.87;1;1;1;""111"";""Lost Customers"""
"CUST00334;84;1;9064.45;3;1;1;""311"";""Lost Customers"""
"CUST00300;316;2;9078.45;1;1;1;""111"";""Lost Customers"""
"CUST00322;280;2;9157.25;1;2;1;""121"";""Lost Customers"""
"CUST00219;266;2;9267.36;1;2;1;""121"";""Lost Customers"""
"CUST00362;263;2;9664.72;1;2;1;""121"";""Lost Customers"""
"CUST00125;295;3;9672.75;1;2;1;""121"";""Lost Customers"""
"CUST00170;278;1;9769.19;1;1;1;""111"";""Lost Customers"""
"CUST00041;275;1;10177.82;1;1;1;""111"";""Lost Customers"""
"CUST00465;265;2;10336.89;1;2;1;""121"";""Lost Customers"""
"CUST00463;48;2;10510.88;4;2;1;""421"";""Potential Loyalists"""
"CUST00191;311;2;10646.38;1;1;1;""111"";""Lost Customers"""
"CUST00037;110;3;10699.48;3;2;1;""321"";""Lost Customers"""
"CUST00025;89;3;10752.57;3;2;1;""321"";""Lost Customers"""
"CUST00285;415;1;10940.68;1;1;1;""111"";""Lost Customers"""
"CUST00156;150;1;11023.49;2;1;1;""211"";""Lost Customers"""
"CUST00245;29;3;11340.75;5;3;1;""531"";""Potential Loyalists"""
"CUST00391;205;3;11447.46;2;2;1;""221"";""Lost Customers"""
"CUST00471;46;1;11604.05;4;1;1;""411"";""Potential Loyalists"""
"CUST00410;435;1;11875.57;1;1;1;""111"";""Lost Customers"""
"CUST00498;126;4;11949.03;2;3;1;""231"";""At Risk"""
"CUST00169;125;3;12385.43;2;2;1;""221"";""Lost Customers"""
"CUST00115;129;1;12404.3;2;1;1;""211"";""Lost Customers"""
"CUST00266;292;1;12519.64;1;1;1;""111"";""Lost Customers"""
"CUST00409;82;2;12596.46;3;2;1;""321"";""Lost Customers"""
"CUST00435;31;3;12872.58;4;3;1;""431"";""Potential Loyalists"""
"CUST00015;34;4;13331.69;4;3;1;""431"";""Potential Loyalists"""
"CUST00276;42;2;13686.43;4;2;1;""421"";""Potential Loyalists"""
"CUST00157;151;2;14225.87;2;2;2;""222"";""Lost Customers"""
"CUST00168;114;1;14269.18;2;1;2;""212"";""Lost Customers"""
"CUST00431;23;4;14292.38;5;3;2;""532"";""Potential Loyalists"""
"CUST00141;274;1;14573.47;1;1;2;""112"";""Lost Customers"""
"CUST00483;431;1;14928.71;1;1;2;""112"";""Lost Customers"""
"CUST00394;375;1;15335.68;1;1;2;""112"";""Lost Customers"""
"CUST00313;296;1;15382.3;1;1;2;""112"";""Lost Customers"""
"CUST00297;114;2;15505.86;3;2;2;""322"";""Lost Customers"""
"CUST00048;99;1;15829.14;3;1;2;""312"";""Lost Customers"""
"CUST00254;36;4;15862.04;4;3;2;""432"";""Potential Loyalists"""
"CUST00500;94;1;16161.3;3;1;2;""312"";""Lost Customers"""
"CUST00389;305;2;16438.85;1;1;2;""112"";""Lost Customers"""
"CUST00035;4;4;16588.83;5;3;2;""532"";""Potential Loyalists"""
"CUST00469;116;3;17405.89;2;2;2;""222"";""Lost Customers"""
"CUST00237;75;1;17410.65;3;1;2;""312"";""Lost Customers"""
"CUST00190;36;4;17429.28;4;3;2;""432"";""Potential Loyalists"""
"CUST00204;325;1;17597.77;1;1;2;""112"";""Lost Customers"""
"CUST00493;20;3;17666.46;5;3;2;""532"";""Potential Loyalists"""
"CUST00288;150;3;17689.0;2;2;2;""222"";""Lost Customers"""
"CUST00375;54;3;17759.31;4;2;2;""422"";""Potential Loyalists"""
"CUST00316;36;2;17776.06;4;2;2;""422"";""Potential Loyalists"""
"CUST00479;110;2;17867.76;3;2;2;""322"";""Lost Customers"""
"CUST00079;60;3;18353.81;3;2;2;""322"";""Lost Customers"""
"CUST00423;81;5;18559.82;3;3;2;""332"";""Lost Customers"""
"CUST00364;238;1;18833.48;1;1;2;""112"";""Lost Customers"""
"CUST00031;280;1;18848.71;1;1;2;""112"";""Lost Customers"""
"CUST00241;11;2;19310.78;5;2;2;""522"";""Potential Loyalists"""
"CUST00464;18;7;19526.45;5;4;2;""542"";""Loyal Customers"""
"CUST00359;2;2;19613.39;5;2;2;""522"";""Potential Loyalists"""
"CUST00295;83;4;20047.58;3;3;2;""332"";""Lost Customers"""
"CUST00227;3;5;20209.74;5;4;2;""542"";""Loyal Customers"""
"CUST00107;179;1;20237.61;2;1;2;""212"";""Lost Customers"""
"CUST00457;95;2;20273.01;3;2;2;""322"";""Lost Customers"""
"CUST00418;155;3;20320.95;2;2;2;""222"";""Lost Customers"""
"CUST00046;107;3;20465.57;3;2;2;""322"";""Lost Customers"""
"CUST00392;199;2;20753.76;2;2;2;""222"";""Lost Customers"""
"CUST00255;276;2;21454.11;1;2;2;""122"";""Lost Customers"""
"CUST00290;91;3;21716.89;3;2;2;""322"";""Lost Customers"""
"CUST00433;215;4;21739.45;2;3;2;""232"";""At Risk"""
"CUST00304;82;3;21785.26;3;2;2;""322"";""Lost Customers"""
"CUST00242;82;5;22303.73;3;3;2;""332"";""Lost Customers"""
"CUST00134;134;4;23361.81;2;3;2;""232"";""At Risk"""
"CUST00422;119;2;23532.73;2;2;2;""222"";""Lost Customers"""
"CUST00024;234;2;23540.74;1;2;2;""122"";""Lost Customers"""
"CUST00446;125;7;23735.51;2;4;2;""242"";""At Risk"""
"CUST00066;19;3;23802.69;5;3;2;""532"";""Potential Loyalists"""
"CUST00118;146;1;24446.34;2;1;2;""212"";""Lost Customers"""
"CUST00468;42;4;24660.93;4;3;2;""432"";""Potential Loyalists"""
"CUST00378;327;2;24661.47;1;1;2;""112"";""Lost Customers"""
"CUST00310;86;5;24683.43;3;3;2;""332"";""Lost Customers"""
"CUST00248;178;1;25699.65;2;1;2;""212"";""Lost Customers"""
"CUST00089;69;2;26850.87;3;2;2;""322"";""Lost Customers"""
"CUST00348;173;3;27073.84;2;2;2;""222"";""Lost Customers"""
"CUST00461;119;2;27336.82;2;2;2;""222"";""Lost Customers"""
"CUST00360;300;2;27474.46;1;2;2;""122"";""Lost Customers"""
"CUST00075;297;1;27853.04;1;1;2;""112"";""Lost Customers"""
"CUST00081;25;2;28773.6;5;2;2;""522"";""Potential Loyalists"""
"CUST00252;318;2;29293.93;1;1;2;""112"";""Lost Customers"""
"CUST00212;32;2;29299.57;4;2;2;""422"";""Potential Loyalists"""
"CUST00198;325;1;30084.73;1;1;2;""112"";""Lost Customers"""
"CUST00014;31;6;30269.37;4;4;2;""442"";""Loyal Customers"""
"CUST00474;59;6;30639.8;3;4;2;""342"";""Lost Customers"""
"CUST00109;221;7;31774.05;2;4;2;""242"";""At Risk"""
"CUST00116;20;3;31779.77;5;3;2;""532"";""Potential Loyalists"""
"CUST00208;151;4;31838.53;2;3;2;""232"";""At Risk"""
"CUST00332;38;3;32080.47;4;3;2;""432"";""Potential Loyalists"""
"CUST00294;55;5;32155.89;4;4;2;""442"";""Loyal Customers"""
"CUST00380;45;6;32218.82;4;4;2;""442"";""Loyal Customers"""
"CUST00429;22;4;32554.76;5;3;2;""532"";""Potential Loyalists"""
"CUST00309;383;1;32703.55;1;1;2;""112"";""Lost Customers"""
"CUST00123;57;1;32778.7;3;1;2;""312"";""Lost Customers"""
"CUST00224;146;1;32963.66;2;1;2;""212"";""Lost Customers"""
"CUST00338;30;4;33261.86;4;3;2;""432"";""Potential Loyalists"""
"CUST00280;48;4;33386.9;4;3;2;""432"";""Potential Loyalists"""
"CUST00142;308;2;33785.2;1;1;2;""112"";""Lost Customers"""
"CUST00104;170;3;33799.89;2;2;2;""222"";""Lost Customers"""
"CUST00424;31;3;33932.29;4;3;2;""432"";""Potential Loyalists"""
"CUST00330;124;3;35026.05;2;2;2;""222"";""Lost Customers"""
"CUST00376;278;3;35210.83;1;2;2;""122"";""Lost Customers"""
"CUST00264;87;3;35273.12;3;2;2;""322"";""Lost Customers"""
"CUST00082;23;3;35722.41;5;3;2;""532"";""Potential Loyalists"""
"CUST00226;404;2;35824.63;1;1;2;""112"";""Lost Customers"""
"CUST00315;186;4;36244.17;2;3;2;""232"";""At Risk"""
"CUST00004;93;3;36271.18;3;2;2;""322"";""Lost Customers"""
"CUST00240;46;5;36617.73;4;4;2;""442"";""Loyal Customers"""
"CUST00225;42;6;36886.91;4;4;3;""443"";""Loyal Customers"""
"CUST00466;85;3;37004.11;3;2;3;""323"";""Lost Customers"""
"CUST00472;44;4;37124.83;4;3;3;""433"";""Potential Loyalists"""
"CUST00499;212;3;37284.98;2;2;3;""223"";""Lost Customers"""
"CUST00010;213;4;37399.91;2;3;3;""233"";""At Risk"""
"CUST00452;313;2;37666.19;1;1;3;""113"";""Lost Customers"""
"CUST00166;63;3;38599.97;3;2;3;""323"";""Lost Customers"""
"CUST00406;76;8;39032.47;3;4;3;""343"";""Lost Customers"""
"CUST00051;8;12;39222.98;5;5;3;""553"";""Loyal Customers"""
"CUST00233;226;2;39590.03;1;2;3;""123"";""Lost Customers"""
"CUST00144;14;5;39868.53;5;4;3;""543"";""Loyal Customers"""
"CUST00386;48;5;40021.09;4;4;3;""443"";""Loyal Customers"""
"CUST00450;48;7;40273.4;4;4;3;""443"";""Loyal Customers"""
"CUST00458;222;4;40371.7;2;3;3;""233"";""At Risk"""
"CUST00053;224;5;40797.45;1;3;3;""133"";""At Risk"""
"CUST00023;0;2;40888.59;5;2;3;""523"";""Potential Loyalists"""
"CUST00281;28;2;41167.0;5;2;3;""523"";""Potential Loyalists"""
"CUST00365;83;4;41209.87;3;3;3;""333"";""Lost Customers"""
"CUST00016;60;6;41817.67;3;4;3;""343"";""Lost Customers"""
"CUST00137;250;3;43215.4;1;2;3;""123"";""Lost Customers"""
"CUST00232;251;5;43235.35;1;3;3;""133"";""At Risk"""
"CUST00182;15;4;43896.59;5;3;3;""533"";""Potential Loyalists"""
"CUST00441;46;7;44109.39;4;4;3;""443"";""Loyal Customers"""
"CUST00006;158;2;44122.98;2;2;3;""223"";""Lost Customers"""
"CUST00060;61;5;44591.83;3;4;3;""343"";""Lost Customers"""
"CUST00112;185;3;44995.48;2;2;3;""223"";""Lost Customers"""
"CUST00262;30;4;45033.02;4;3;3;""433"";""Potential Loyalists"""
"CUST00042;133;4;46590.81;2;3;3;""233"";""At Risk"""
"CUST00110;53;3;46708.68;4;3;3;""433"";""Potential Loyalists"""
"CUST00306;14;6;46831.55;5;4;3;""543"";""Loyal Customers"""
"CUST00490;158;3;47301.32;2;2;3;""223"";""Lost Customers"""
"CUST00019;354;3;47601.9;1;2;3;""123"";""Lost Customers"""
"CUST00102;100;3;47788.6;3;2;3;""323"";""Lost Customers"""
"CUST00140;40;5;48172.93;4;4;3;""443"";""Loyal Customers"""
"CUST00412;4;4;48368.97;5;3;3;""533"";""Potential Loyalists"""
"CUST00197;37;7;50375.72;4;4;3;""443"";""Loyal Customers"""
"CUST00131;365;1;50432.87;1;1;3;""113"";""Lost Customers"""
"CUST00470;34;6;50852.9;4;4;3;""443"";""Loyal Customers"""
"CUST00135;260;6;51154.03;1;4;3;""143"";""At Risk"""
"CUST00106;42;5;51734.58;4;4;3;""443"";""Loyal Customers"""
"CUST00420;233;3;51826.15;1;2;3;""123"";""Lost Customers"""
"CUST00414;15;3;52972.96;5;3;3;""533"";""Potential Loyalists"""
"CUST00383;68;4;53228.49;3;3;3;""333"";""Lost Customers"""
"CUST00099;253;5;53285.72;1;3;3;""133"";""At Risk"""
"CUST00440;333;2;54191.44;1;1;3;""113"";""Lost Customers"""
"CUST00436;128;1;54534.76;2;1;3;""213"";""Lost Customers"""
"CUST00122;66;4;56019.81;3;3;3;""333"";""Lost Customers"""
"CUST00007;37;6;56063.28;4;4;3;""443"";""Loyal Customers"""
"CUST00388;135;7;57080.51;2;4;3;""243"";""At Risk"""
"CUST00401;36;4;59285.73;4;3;3;""433"";""Potential Loyalists"""
"CUST00057;227;3;59511.54;1;2;3;""123"";""Lost Customers"""
"CUST00161;6;8;59662.23;5;4;3;""543"";""Loyal Customers"""
"CUST00296;18;4;60307.66;5;3;3;""533"";""Potential Loyalists"""
"CUST00445;68;3;61093.02;3;2;3;""323"";""Lost Customers"""
"CUST00355;290;4;61615.88;1;3;3;""133"";""At Risk"""
"CUST00335;147;3;61848.23;2;2;3;""223"";""Lost Customers"""
"CUST00002;139;3;61878.84;2;2;3;""223"";""Lost Customers"""
"CUST00427;111;5;62050.86;3;3;3;""333"";""Lost Customers"""
"CUST00187;48;7;62219.14;4;4;3;""443"";""Loyal Customers"""
"CUST00344;280;4;62477.12;1;3;3;""133"";""At Risk"""
"CUST00283;74;6;63014.29;3;4;3;""343"";""Lost Customers"""
"CUST00320;93;5;63035.09;3;3;3;""333"";""Lost Customers"""
"CUST00311;51;4;63598.35;4;3;3;""433"";""Potential Loyalists"""
"CUST00430;275;3;64341.83;1;2;3;""123"";""Lost Customers"""
"CUST00319;18;5;64984.45;5;4;3;""543"";""Loyal Customers"""
"CUST00340;77;8;65010.42;3;4;3;""343"";""Lost Customers"""
"CUST00094;88;5;65219.43;3;3;3;""333"";""Lost Customers"""
"CUST00203;68;4;65803.46;3;3;3;""333"";""Lost Customers"""
"CUST00449;48;6;65965.24;4;4;3;""443"";""Loyal Customers"""
"CUST00059;120;6;66787.0;2;4;3;""243"";""At Risk"""
"CUST00067;42;6;66904.89;4;4;3;""443"";""Loyal Customers"""
"CUST00178;31;4;67437.15;4;3;3;""433"";""Potential Loyalists"""
"CUST00234;45;1;67925.14;4;1;3;""413"";""Potential Loyalists"""
"CUST00145;21;4;68513.63;5;3;3;""533"";""Potential Loyalists"""
"CUST00444;287;3;69552.61;1;2;3;""123"";""Lost Customers"""
"CUST00078;41;5;70321.84;4;4;3;""443"";""Loyal Customers"""
"CUST00209;194;4;70599.49;2;3;3;""233"";""At Risk"""
"CUST00305;105;5;71192.0;3;3;3;""333"";""Lost Customers"""
"CUST00363;284;6;72127.04;1;4;3;""143"";""At Risk"""
"CUST00071;31;5;72481.38;4;4;3;""443"";""Loyal Customers"""
"CUST00143;162;13;73820.34;2;5;3;""253"";""At Risk"""
"CUST00069;60;5;74070.4;3;4;3;""343"";""Lost Customers"""
"CUST00012;87;8;74685.9;3;4;3;""343"";""Lost Customers"""
"CUST00221;152;4;75865.77;2;3;3;""233"";""At Risk"""
"CUST00211;69;8;76455.54;3;4;3;""343"";""Lost Customers"""
"CUST00303;302;5;76639.25;1;3;4;""134"";""At Risk"""
"CUST00152;1;4;76712.35;5;3;4;""534"";""Potential Loyalists"""
"CUST00120;33;9;76831.45;4;5;4;""454"";""Loyal Customers"""
"CUST00238;137;2;77102.26;2;2;4;""224"";""Lost Customers"""
"CUST00173;64;10;77871.63;3;5;4;""354"";""Lost Customers"""
"CUST00261;155;4;78782.61;2;3;4;""234"";""At Risk"""
"CUST00202;43;13;79682.27;4;5;4;""454"";""Loyal Customers"""
"CUST00323;17;10;79762.42;5;5;4;""554"";""Loyal Customers"""
"CUST00480;69;8;80401.34;3;4;4;""344"";""Lost Customers"""
"CUST00387;118;1;80656.82;2;1;4;""214"";""Lost Customers"""
"CUST00271;59;5;80856.04;3;4;4;""344"";""Lost Customers"""
"CUST00367;17;10;80902.44;5;5;4;""554"";""Loyal Customers"""
"CUST00133;76;7;81058.57;3;4;4;""344"";""Lost Customers"""
"CUST00277;32;9;81112.86;4;5;4;""454"";""Loyal Customers"""
"CUST00036;36;7;81411.62;4;4;4;""444"";""Loyal Customers"""
"CUST00354;43;7;82353.71;4;4;4;""444"";""Loyal Customers"""
"CUST00092;102;6;83130.46;3;4;4;""344"";""Lost Customers"""
"CUST00477;55;8;84441.12;4;4;4;""444"";""Loyal Customers"""
"CUST00228;4;9;84545.94;5;5;4;""554"";""Loyal Customers"""
"CUST00088;185;11;85177.44;2;5;4;""254"";""At Risk"""
"CUST00491;45;6;85908.99;4;4;4;""444"";""Loyal Customers"""
"CUST00103;221;3;86858.34;2;2;4;""224"";""Lost Customers"""
"CUST00214;54;3;88570.77;4;2;4;""424"";""Potential Loyalists"""
"CUST00307;215;2;90236.46;2;2;4;""224"";""Lost Customers"""
"CUST00361;178;4;91000.41;2;3;4;""234"";""At Risk"""
"CUST00346;121;4;91554.52;2;3;4;""234"";""At Risk"""
"CUST00027;84;8;93168.61;3;4;4;""344"";""Lost Customers"""
"CUST00395;37;8;93802.67;4;4;4;""444"";""Loyal Customers"""
"CUST00381;94;4;93933.86;3;3;4;""334"";""Lost Customers"""
"CUST00393;276;4;93950.61;1;3;4;""134"";""At Risk"""
"CUST00411;43;2;94497.45;4;2;4;""424"";""Potential Loyalists"""
"CUST00495;123;4;94521.46;2;3;4;""234"";""At Risk"""
"CUST00032;268;8;95336.95;1;4;4;""144"";""At Risk"""
"CUST00022;54;9;95464.83;4;5;4;""454"";""Loyal Customers"""
"CUST00111;29;10;95496.85;5;5;4;""554"";""Loyal Customers"""
"CUST00244;136;5;95587.96;2;3;4;""234"";""At Risk"""
"CUST00282;18;9;96099.83;5;5;4;""554"";""Loyal Customers"""
"CUST00184;305;2;97008.01;1;1;4;""114"";""Lost Customers"""
"CUST00343;5;10;97106.41;5;5;4;""554"";""Loyal Customers"""
"CUST00425;260;2;97531.11;1;2;4;""124"";""Lost Customers"""
"CUST00108;87;5;100544.87;3;3;4;""334"";""Lost Customers"""
"CUST00100;62;8;100958.83;3;4;4;""344"";""Lost Customers"""
"CUST00371;212;6;101093.1;2;4;4;""244"";""At Risk"""
"CUST00289;177;5;102771.87;2;3;4;""234"";""At Risk"""
"CUST00033;67;3;103235.7;3;2;4;""324"";""Lost Customers"""
"CUST00026;214;5;104375.57;2;3;4;""234"";""At Risk"""
"CUST00132;164;13;104777.64;2;5;4;""254"";""At Risk"""
"CUST00054;66;8;105082.09;3;4;4;""344"";""Lost Customers"""
"CUST00451;2;9;105696.73;5;5;4;""554"";""Loyal Customers"""
"CUST00013;82;5;105771.51;3;3;4;""334"";""Lost Customers"""
"CUST00293;45;9;107110.83;4;5;4;""454"";""Loyal Customers"""
"CUST00220;182;5;108220.53;2;3;4;""234"";""At Risk"""
"CUST00385;38;6;110220.91;4;4;4;""444"";""Loyal Customers"""
"CUST00292;38;12;111291.88;4;5;4;""454"";""Loyal Customers"""
"CUST00201;82;9;112456.25;3;4;4;""344"";""Lost Customers"""
"CUST00086;71;6;112939.86;3;4;4;""344"";""Lost Customers"""
"CUST00160;82;3;115349.72;3;2;4;""324"";""Lost Customers"""
"CUST00126;59;8;115381.8;3;4;4;""344"";""Lost Customers"""
"CUST00180;160;3;115991.54;2;2;4;""224"";""Lost Customers"""
"CUST00162;69;10;116002.19;3;5;4;""354"";""Lost Customers"""
"CUST00279;5;11;116139.2;5;5;4;""554"";""Loyal Customers"""
"CUST00073;13;9;118777.83;5;5;4;""554"";""Loyal Customers"""
"CUST00163;257;3;119233.61;1;2;4;""124"";""Lost Customers"""
"CUST00397;62;5;119724.04;3;4;4;""344"";""Lost Customers"""
"CUST00267;8;10;120365.87;5;5;4;""554"";""Loyal Customers"""
"CUST00326;20;9;120621.76;5;5;4;""554"";""Loyal Customers"""
"CUST00229;109;3;120706.18;3;2;4;""324"";""Lost Customers"""
"CUST00175;188;8;121146.13;2;4;4;""244"";""At Risk"""
"CUST00258;87;4;121234.43;3;3;4;""334"";""Lost Customers"""
"CUST00020;56;6;122187.11;4;4;4;""444"";""Loyal Customers"""
"CUST00149;12;9;122786.62;5;5;4;""554"";""Loyal Customers"""
"CUST00251;92;4;122996.87;3;3;4;""334"";""Lost Customers"""
"CUST00207;107;9;123999.33;3;4;4;""344"";""Lost Customers"""
"CUST00105;170;6;125693.84;2;4;4;""244"";""At Risk"""
"CUST00005;78;9;129644.4;3;4;4;""344"";""Lost Customers"""
"CUST00312;288;4;131757.95;1;3;4;""134"";""At Risk"""
"CUST00119;7;7;133370.56;5;4;4;""544"";""Loyal Customers"""
"CUST00186;43;4;134577.1;4;3;4;""434"";""Potential Loyalists"""
"CUST00291;150;8;134596.89;2;4;4;""244"";""At Risk"""
"CUST00154;128;6;135566.19;2;4;4;""244"";""At Risk"""
"CUST00058;118;5;136569.32;2;3;4;""234"";""At Risk"""
"CUST00129;26;16;139333.39;5;5;4;""554"";""Loyal Customers"""
"CUST00456;75;16;140061.78;3;5;4;""354"";""Lost Customers"""
"CUST00018;4;12;140287.12;5;5;4;""554"";""Loyal Customers"""
"CUST00196;23;6;140511.82;5;4;5;""545"";""Loyal Customers"""
"CUST00179;66;12;142013.2;3;5;5;""355"";""Lost Customers"""
"CUST00405;0;8;143760.02;5;4;5;""545"";""Loyal Customers"""
"CUST00416;2;12;143906.04;5;5;5;""555"";""Champions"""
"CUST00396;1;17;144332.92;5;5;5;""555"";""Champions"""
"CUST00286;6;9;145454.6;5;5;5;""555"";""Champions"""
"CUST00497;11;5;147109.51;5;4;5;""545"";""Loyal Customers"""
"CUST00159;44;9;147441.72;4;5;5;""455"";""Loyal Customers"""
"CUST00321;10;8;148078.33;5;4;5;""545"";""Loyal Customers"""
"CUST00084;7;6;148543.12;5;4;5;""545"";""Loyal Customers"""
"CUST00085;31;8;149983.24;4;4;5;""445"";""Loyal Customers"""
"CUST00049;37;10;150088.33;4;5;5;""455"";""Loyal Customers"""
"CUST00487;86;14;151618.5;3;5;5;""355"";""Lost Customers"""
"CUST00172;32;12;151619.19;4;5;5;""455"";""Loyal Customers"""
"CUST00029;27;17;154111.46;5;5;5;""555"";""Champions"""
"CUST00455;86;11;154850.89;3;5;5;""355"";""Lost Customers"""
"CUST00074;13;11;154898.61;5;5;5;""555"";""Champions"""
"CUST00136;64;10;155224.76;3;5;5;""355"";""Lost Customers"""
"CUST00370;50;11;158440.01;4;5;5;""455"";""Loyal Customers"""
"CUST00399;31;6;158993.11;4;4;5;""445"";""Loyal Customers"""
"CUST00239;76;7;159850.84;3;4;5;""345"";""Lost Customers"""
"CUST00206;51;3;162609.85;4;3;5;""435"";""Potential Loyalists"""
"CUST00443;59;14;163555.84;3;5;5;""355"";""Lost Customers"""
"CUST00356;25;18;163878.81;5;5;5;""555"";""Champions"""
"CUST00153;41;8;166482.5;4;4;5;""445"";""Loyal Customers"""
"CUST00437;340;1;168184.36;1;1;5;""115"";""Lost Customers"""
"CUST00278;47;10;168618.75;4;5;5;""455"";""Loyal Customers"""
"CUST00121;30;12;169808.51;4;5;5;""455"";""Loyal Customers"""
"CUST00439;2;12;169853.6;5;5;5;""555"";""Champions"""
"CUST00247;53;13;171223.89;4;5;5;""455"";""Loyal Customers"""
"CUST00127;37;4;172924.7;4;3;5;""435"";""Potential Loyalists"""
"CUST00044;26;14;173266.67;5;5;5;""555"";""Champions"""
"CUST00150;49;10;173329.89;4;5;5;""455"";""Loyal Customers"""
"CUST00400;27;4;173867.94;5;3;5;""535"";""Potential Loyalists"""
"CUST00448;10;10;174112.31;5;5;5;""555"";""Champions"""
"CUST00128;52;12;174968.04;4;5;5;""455"";""Loyal Customers"""
"CUST00345;141;7;177111.76;2;4;5;""245"";""At Risk"""
"CUST00408;75;13;179318.58;3;5;5;""355"";""Lost Customers"""
"CUST00447;126;11;180464.76;2;5;5;""255"";""At Risk"""
"CUST00039;188;5;182108.97;2;3;5;""235"";""At Risk"""
"CUST00492;12;10;183644.09;5;5;5;""555"";""Champions"""
"CUST00353;33;12;185999.88;4;5;5;""455"";""Loyal Customers"""
"CUST00341;141;2;191681.28;2;2;5;""225"";""Lost Customers"""
"CUST00253;2;12;196161.13;5;5;5;""555"";""Champions"""
